516	Wed Aug 10 22:59:48 +0000 2011	4c58b1f12fa89c741f5b1323	{San Clemente Beach Trail}	{33.42108134451109,-117.61986765415615,San Clemente,CA,United States}	{Outdoors & Recreation,Beach,}
516	Mon Aug 01 03:42:49 +0000 2011	4e1cccc4b0fb543b8ff78358	{Trilogy Ocean Sports Kaanapali}	{20.924002,-156.694935,Lahaina,HI,United States}	{Outdoors & Recreation,}
516	Fri Jul 29 17:07:36 +0000 2011	4babd65cf964a520cdcd3ae3	{Ma'alaea Harbor}	{20.791760803947103,-156.5123242848526,Wailuku,HI,United States}	{Outdoors & Recreation,}
516	Fri Jul 29 03:39:46 +0000 2011	4b5ab33cf964a5204ad128e3	{Sansei Seafood Restaurant & Sushi Bar}	{20.9984245090345,-156.65443897247314,Lahaina,HI,United States}	{Nightlife Spot,Food,}
516	Thu Jul 28 16:06:28 +0000 2011	4a916510f964a520101a20e3	{The Westin Maui Resort & Spa, Ka'anapali}	{20.919955964529564,-156.69516563415527,Ka'anapali,HI,United States}	{Travel & Transport,Shop & Service,Hotel,}
516	Thu Jul 28 03:10:25 +0000 2011	4b53f022f964a5200daf27e3	{Safeway}	{20.88688125,-156.6837629653835,Lahaina,HI,United States}	{Shop & Service,Food & Drink Shop,}
516	Thu Jul 28 00:46:54 +0000 2011	4a916510f964a520101a20e3	{The Westin Maui Resort & Spa, Ka'anapali}	{20.919955964529564,-156.69516563415527,Ka'anapali,HI,United States}	{Travel & Transport,Shop & Service,Hotel,}
516	Wed Jul 27 21:39:05 +0000 2011	4b088ce8f964a520300e23e3	{Kahului Airport (OGG)}	{20.892815034763537,-156.43797397613525,Kahului,HI,United States}	{Travel & Transport,}
516	Wed Jul 27 14:39:04 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
516	Sun Jul 24 05:56:53 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Jul 22 17:06:58 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
