551	Tue Feb 22 18:50:12 +0000 2011	4cdb25524006a1432e6fd6b2	{New Frontiers Natural Marketplace}	{35.25109175546443,-120.68740799528301,San Luis Obispo,CA,United States}	{Shop & Service,Food & Drink Shop,}
===
551	Fri Jan 28 17:38:02 +0000 2011	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Sat Jan 22 05:05:44 +0000 2011	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Wed Jan 05 18:10:07 +0000 2011	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Mon Jan 03 18:20:26 +0000 2011	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Wed Dec 22 05:25:23 +0000 2010	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Fri Dec 17 17:40:51 +0000 2010	4b818efbf964a52002af30e3	{Sally Loo's Wholesome Cafe}	{35.27574195269017,-120.65584738738954,San Luis Obispo,CA,United States}	{Food,}
551	Mon Dec 06 22:09:43 +0000 2010	4bae59fdf964a5208aa63be3	{The Giant Grinder}	{35.27254938,-120.659016,San Luis Obispo,CA,United States}	{Food,}
551	Mon Dec 06 00:57:04 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Sat Dec 04 05:53:20 +0000 2010	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Sat Nov 27 18:48:12 +0000 2010	4c94036e21c7199cb0960d7f	{SLO Donut Company}	{35.29356513333333,-120.672021,San Luis Obispo,CA,United States}	{Food,}
551	Sat Nov 27 07:17:03 +0000 2010	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Sun Nov 21 01:51:24 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
