@relation WEKADataRelation

@attribute description string
@attribute rate numeric

@data
'Hotel TourismThing Node Cassells Hotel Apartments',5
'Hotel TourismThing Node Bonnington Bonnington is a dispersed village and civil parish on the northern edge of the Romney Marsh in Ashford District of Kent, England. The village is located eight miles (13 km) to the south of the town of Ashford on the B2067 (Hamstreet to Hythe road). Bonnington has under 100 inhabitants and has historic connections with smuggling. It is also home to arguably the best rising sun Skyline in history. The parish used to boast its own school at the T-junction with the former B2069, and a public house (The Oak) located nearly two miles south east of the village. The parish church, dedicated to St Rumwold, is about half a mile to the south of the hamlet, on the Royal Military Canal. The parish council is now linked with the larger village of Aldington which is where the nearest shops can be found.Bonnington is a dispersed village and civil parish on the northern edge of the Romney Marsh in Ashford District of Kent, England. The village is located eight miles (13 km) to the south of the town of Ashford on the B2067 (Hamstreet to Hythe road).The parish council is now linked with the larger village of Aldington which is where the nearest shops can be found.',4.3
'Hotel TourismThing Node Al Rayaan Hotel',3.5
'Hotel TourismThing Node Coral Deira Hotel',4.1
'Hotel TourismThing Node Al Hamra Residence',3.9
'Hotel TourismThing Node TOP Grand Continental Flamingo',3.5
'Way NaturalThing Fence Sand Airport BarrierThing AerowayThing Al Dhafra Air Base Al Dhafra Air Base (Arabic:????? ?????? ??????) (IATA: DHF, ICAO: OMAM) is a military installation in the United Arab Emirates. The base is located approximately 20 mi (32 km) south of Abu Dhabi and is operated by the United Arab Emirates Air Force.Al Dhafra Air Base (Arabic:????? ?????? ??????) (IATA: DHF, ICAO: OMAM) is a military installation in the United Arab Emirates. The base is located approximately 20 mi (32 km) south of Abu Dhabi and is operated by the United Arab Emirates Air Force.',4.1
'Way Amenity Building PlaceOfWorship UnclassifiedBuilding Sheikh Zayed Mosque Sheikh Zayed Grand Mosque (Arabic: ???? ????? ???? ????????) is located in Abu Dhabi, the capital city of the United Arab Emirates, and is considered to be the key site for worship in the country. The project was launched by the late president of the United Arab Emirates (UAE), Sheikh Zayed bin Sultan Al Nahyan, who wanted to establish a structure that would unite the cultural diversity of the Islamic world with the historical and modern values of architecture and art. His final resting place is located on the grounds beside the same mosque. The mosque was constructed from 1996 to 2007. It is the largest mosque in the United Arab Emirates. The building complex measures approximately 290 m (960 ft) by 420 m (1,380 ft), covering an area of more than 12 hectares (30 acres), exclusive of exterior landscaping and vehicle parking. As the country\'s grand mosque, it is the key place of worship for Friday gathering and Eid prayers. During Eid it may be visited by more than 41000 people. Sheikh Zayed Grand Mosque Center (SZGMC) offices are located in the west minarets. SZGMC manages the day-to-day operations, as a place of worship and Friday gathering, and also a center of learning and discovery through its educational cultural activities and visitor programs. The library, located in the north/east minaret, serves the community with classic books and publications addressing a range of Islamic subjects: sciences, civilization, calligraphy, the arts, coins and includes some rare publications dating back more than 200 years. In reflection of the diversity of the Islamic world and the United Arab Emirates, the collection comprises material in a broad range of languages, including Arabic, English, French, Italian, Spanish, German and Korean.Sheikh Zayed Grand Mosque (Arabic: ???? ????? ???? ????????) is located in Abu Dhabi, the capital city of the United Arab Emirates, and is considered to be the key site for worship in the country. The project was launched by the late president of the United Arab Emirates (UAE), Sheikh Zayed bin Sultan Al Nahyan, who wanted to establish a structure that would unite the cultural diversity of the Islamic world with the historical and modern values of architecture and art. His final resting place is located on the grounds beside the same mosque. The mosque was constructed from 1996 to 2007. It is the largest mosque in the United Arab Emirates. The building complex measures approximately 290 m (960 ft) by 420 m (1,380 ft), covering an area of more than 12 hectares (30 acres), exclusive of exter',4.8
'Hotel TourismThing Node Rayan Hotel',3.9
'Hotel TourismThing Node Imperial hotel apartments',3.3
