@relation Amanda

@attribute class {1,5}
@attribute description string

@data
3,'The room was not as clean as I would have liked. It seemed like they only cleaned the areas they could reach with a vacuum. They didnt bother to move any furniture or use any tools to get the crevices. That being said my husband and I felt safe and our 45 lb dog got to stay for free. Check in and check out were a breeze. Breakfast was decent. Pool was not clean, but hot tub was excellent. Elevator seemed a bit old and used but it got us to our room. Not the caliber of hotel I am used to, but hey my fur baby got to stay for free which was really nice. I will definitely use a LaQuinta again when traveling with her. But I would not stay there if I was flying solo.'
5,'great hotel and location, enjoyed walking and sight seeing, staff was excellent'
2.8,'Great venue for our reception. It was not too expensive, it looked formal, and the food was great.'
5,'Everyone here has been beyond nice and generous - get Robert to drive you and if you are nice the security guy will give you some extra pool time after  11!  Cookies and a great pool = amazing'
5,'Rooms were great!! The breakfast was very limited'
5,I only stayed for one night. I was very happy with everything but the breakfast they have which was free. But all they had was toast an cereal, water cost extra. Saw no juice and the coffee cups were in 6oz cups.'
2,'I stood on the front lobby to check on and wasnt acknowledged for at least 5 minutes and then was told I assume you are checking in. Thats not the best way to welcome a customer staying at your hotel! You should make them feel welcome and want to stay. If there were more choices in Boone I would have walked out and canceled my stay there! They need to work on hospitality!'
5,'We had an amazing stay! The view was perfect, the staff was very nice and helpful. Our room was clean and very comfortable. And for the price I will definitely stay here again!! Thank you so much for a fabulous vacation!'
5,'Was a bit disappointed with the fitness center.  When i come to Alexandria I always like to stay at the Monaco b/c of the fitness center.  Its small, but has what i need.  But this time, there were weights missing.  There was no jump rope.  And the water cooler was empty.  Not good.  I may consider another hotel next time.'
5,'everyone here has been beyond nice and generous - get robert to drive you and if you are nice the security guy will give you some extra pool time after  11!  cookies and a great pool = amazing'
4,'We were able to relax by the fire and make smores while watching the fireworks.'
3,'The hotel was okay. I made reservations for a room with 2 queen size beds, and we got a king with a pull out bed. I was not happy with that obviously. Then when we got there we were excited to use the pool. Which on the website showed that it had a slide. We were disappointed when we realized that, not only did it not have a slide, but the pool looked cloudy and dirty. The hot tubs outside were relaxing but the area needs a little TLC. Other than that, the continental breakfast was nice, and the rooms were clean. Not sure if I would recommend this hotel or not.'
5,'Had a great time in SF'
5,'Hotel was clean and staff was very friendly. Kids loved the pool.'
