@relation balanceado

@attribute description string
@attribute class {1,5}

@data
5,'The hotel was excellent in all aspects. Lobby was warm and friendly, staff was knowledgeable. The room was clean, comfortable and quiet. My one night stay was outstanding. The location of this best western was right off the interstate highway with plenty of restaurants to choose from. It also had its own restaurant.'
5,'overall an 8, breakfast was acceptable (better last few times before) upgraded cable service would make stay much better. matress on both double beds on third floor way too soft but had no problems with 1st ir second floors at earlier stays.'
5,'slept like a baby!!! :)'
1,'The Best Western Plus brand is consistently decent, and this hotel did not disappoint. It'
1,'Great hotel to stay ,,Was there for my niece to see Unity college'
1,'Nice hotel for the price. Great for a short stay. Breakfast discount a nice touch. One of'
1,'The Best Western Plus brand is consistently decent, and this hotel did not disappoint. It'
5,'Slightly tired hotel, but probably the best hotel in Waterville. Skip the in-house'
5,'slept like a baby!!! :)'
1,'Nice hotel for the price. Great for a short stay. Breakfast discount a nice touch. One of'

