@relation service

@attribute class {1,5}
@attribute description string

@data
5,'Thank You	We would like to say Thank You to all of the staff who made our 8 night stay at the Residence &amp; Spa at the One &amp; Only Royal Mirage Dubai a most memorable holiday. The care and attention to detail is insurpassable and it has to be said that the team of staff have certainly been trained to the highest of standards. The managment team deserve credit as it is plain to see that their motivation, dedication and courtesy is reflected in all of the staff and it was an absolute pleasure to experience impeccable manners. The Residence as a whole is totally relaxing and had a lovely ambience. The food in the Dining Room is wonderful, well balanced menu s and exceptionally well presented. The chef s deserve a special thank you as every meal was a delight.We will most definately be staying at the Residence on future visits to Dubai.'
5,'A true Gem	I have just returned from my first visit to Dubai which I took with my family for a birthday celebration. I had heard a lot about how luxurious the hotels are in this part of the world so I had high expectations. The whole place is certainly luxurious but what puts this hotel on a plateau above others is it s intimacy. It only has 48 rooms and we were made to feel so special and valued by the staff. We were always greeted by name as we entered the building or even the lounge area. The building is low level and our room opened on to its own patio area which overlooked gardens and beyond - the sea. We were upgraded to a suite which was spacious and furnished the highest standard as were the standard rooms which our children occupied.The pool and gardens were top   and had an air of peace and tranquility, with luxurious sunbeds and gazebos offering shelter from the sun. However for people who want something more lively there is plenty going on at the Arabian Court and the Palace both for adults and children. Guests of the Residence are free to use the facilities at all the hotels,which is not the case for guests in the other hotels.The staff training is second to none because although staff are ultra attentive they do so without making you feel overpowered. Because it was a special birthday the hotel surprised me with flowers, cake and a spa treatment voucher. We didn t get to all eight restaurants but the Beach and Bar Grill,The Dining Room, The Rotisserie and the Eauzone were all excellent. We were on a half board basis so this helped with costs as Dubai is an expensive place to visit.When it was time to leave the staff once again thought of everything arranging taxis, wake up call and breakfast in our rooms at 4am.Five days was not long enough in thiswonderful hotel, so I hope it wont be long before we can return.'
5,'FABULOUS!	We have just returned from a wonderful 8 days at the Residence &amp; Spa. This was our first visit to this hotel (we normally stay at the Dar al Masayaf) and we were not disappointed. We decided at the last moment to take our two children (19 &amp; 21) with us and did wonder whether it may be a bit too stuffy for two students!!Not at all, they were made to feel so welcome by all the staff and loved the afternoon tea! It was our wedding anniversary and they upgraded us to a lovely suite and we were given some lovely little extras too. We ate most nights in the Dining room which was excellent. In fact, it was much better than the dinner we had at the Burj by a long way! Ate one evening at Ninas the indian restaurant which was excellent. We also ate at The Marina restaurant (part of Jumeriah beach hotel) which we always visit when in Dubai as it is excellent too!! What else can I say? Oh my only minor complaint if you can call it that is that I do think the pool area should be for adults only as there are pools that cater for children in the adjoining hotels. Although there were only one or two children there when we were there and they were well behaved I have to say, I would have preferred the peace of adultsonly. other than apart from the ugly building work going on in front (palm island!) and monorail station to the right it is a wonderful place to stay and would definitely revisit!! Oh, the spa is great too!!'
5,'Plush hotel shame about the view	The One and Only hotel Dubai is indeed a little gem in Dubai, it is hard to have a hotel on the beach in Dubai and not have a view of Cranes. Whilst most other hotels fail in this aspect (withthe exception of Atlantis sea facing rooms), the One and Only manages this superbly. Nestled on the Main Jumeria road the hotel covers a lot of surface area and is divided into differing residences, the more you pay the better the residence. On arrival you check in in a main hall exceot if you have a gold room where you are whisked off to a building on its own which possesses its own checkin. Staff are superbly trained and cater for most needs on requests. Breakfast is well provided for but the location on the main area can become crowded at times. The Spa (now renamed) was part of the Givanchy brand it seemed and has plenty of treatments but these can be obtained in other areas for less, most massage personel in hotels being highly skilled in the region. The pool outside is both open in terms of light and spacious giving the feeling you are not hemmed in with other people due to well laid out trees which can become a nusance when the sun moves and some seem to be placed in the pool so probably not best for lane swimmers. However this openness and caccooned feeling means you do not really see the sea or beach that much which given the cranes is no bad thing. Rooms are not a big difference to many you can find in Dubai, they are reasonably sized and have a nice seperate bathroom with wooden decor. Ultimately this hotel is superb, well managed and appointed, but given the price it is what you should expect. What makes this hotel stand out is access to the centre of town and exclusiveness and friendlyness.'
5,'Fabulous	Stayed here for 6 nights as our Honeymoon. We were upgraded to a suite, and there were many other lovely touches to our stay - rose petals on the bed etcBeautiful hotel with impeccable service. The food was excellent - the only meal we didn t enjoy was at Eau Zone, a shame as we ate there our last night as we d heard it was good. We would definitely return, although perhaps not in Aug as the humidity was almost unbearable.'
5,'absolutely fantastic	The residence and spa is a hotel to spend a week indulging in absolute luxury and quiet.The staff are brilliant and make you feel special, no request is too much for them.'
5,'Perfect in every way	It doesn t get any better than this. The hotel s exclusive ambience and the outstanding service make this hotel one of our favourite s in the world.We have stayed three times (once at the Arabian Court and twice at the Residence). The Residence is a cut above the rest...pure  . Unlike the Oalace and Arabian Court parts of the resort, The Residence is a chav free zone..there are too many people parading about in their (probably fake) designer gear at the other parts of the hotel. The Residence has it s own exclusive pool are and restaurant that the Palace and Arabian Court guests are not allowed access to. This gives it an air of mystery to the &quot;outsiders&quot; and you quite often see peple wandering trhough for a sneeky peek! The staff at The Residence do not allow outsiders to use the pool area, so it s always lovely and quiet with plety of places to lie out.The rooms are incredible. We stayed in a junior suite, which is huge. The large marble bathroom is very luxurious and the room has every amenity you will need.The hotel s restaurants are top   - in fact we didn t leave the resort to eat. There are 7 or 8 different restaurants, each with a slightly different theme.'
5,'Sheer bliss	We have been lucky enough to stay here every year for the last 4 years and i simply wouldnt go anywhere else for relaxation.Out of the 3 hotels within The Royal Mirage , this is the smaller with 50 bedrooms so therfore more intimate with staff addressing you by name and remembering what you like to eat and drink.Bedrooms are very spacious with incredibly comfy beds, even the z bed our daughter slept on was comfy.Clean fluffy towels were replenished every morning and night as were the lovely Molton Brown toiletries.Cool towels round the pool twice a day, sorbet and/or fresh fruit and continually flowing complimentary water are all nice touches which i believe arent in every hotel.Our 4 year old daughter was treated like a princess so much so she cried when she woke up on our last day as she didnt want to come home (shes allready filling up her piggy bank for our next trip)Children are more than welcome here although they may prefer the pool at The Arabian Court where they can make more noise and splash in and out of the pool.We tend to spend the day flitting between beach, Residence pool and Arabian Court pool (dont think i could have done the whole day around the AC pool surrounded by fat sunburnt Brits swigging beer!).Afternoon tea in The Library, also complimentary, is outstanding and management always make themselves visible and chat to each guest.Breakfast, whether room service or eaten in The Dining Room is great with a huge variety. With a food allergy which can be a pain when eating away from home, i was well catered for.Nina (AC), Beach Bar and Grill (Palace) and Tagine (Palace) all great but if you want buffet style then head to Rottiserie (AC) or Olives (Palace).The hotel and grounds (including the beach) are spotlessly clean and all staff greet you from the maintenance to manager.For my husbands birthday a cake, flowers and present (voucher for Hamman treatment) were left in our room after breakfast.When we stayed for New Year we were given a recipie book, dates and photo frame and our daughter a story book and stuffed camel!This hotel has a return rate of around 80% which is a sign of how good it really is.With the global economy the way it is at the moment there are lots of cut price offers for The Palace and Arabian Court but, without sounding like a snob, these two hotels are therefore, attracting in the afformentioned fat sunburnt Brits.If you want to be a name and not just a number, peace and quiet and total relaxation then The Residence really is the place to stay.Now im off to hunt down the back of the sofa for loose change to start saving for our next visit!'
5,'Again another magical stay .....	This is the best hotel in Dubai, that s why we return, year after year!!The simple personal touches, attention to detail and shere luxury, the Residence &amp; Spa has it all, 400%!We travelled with my parents and had an interconnecting Prestige Room &amp; Junior suite. Great for travelling with kids as they have space to cool down during noon, as we went inside then because of the heat.Breakfast at the Dining Room - delicious, dinner at the Dining Room - superb, dinner at the Rotisserie (Arabian Court) - plenty of choice for the kiddies and delicious, dinner at Nina - the Indian place to dine!Menu at both the Dining Room and The Rotisserie should be changed a little more often as the same dishes turned up. But then again, not many guests stay for 12 nights .....Afternoon tea at the Library: scumptious!!!And yes, use the well equipped gym at the Spa after that :-))))))Oh, you like to go out? Check out the Kasbar (next to the Palace)!!!! Expensive drinks but great nightclub, even for us (in our forties with 3 kids - hahahaha!).Many thanks again to Mr Philippe, Fikri, Roshan, Mary (KidsOnly), Raj (pool), The Dining room Chef, and all other staff who made our 12 night stay memorable again.We shall return, soon ....................'
5,'Beautiful Hotel	I highly recommend this hotel. We got waited on hand and foot and could not have asked for a better hotel stay. This hotel and all the staff made our holiday magical.It is true what they say...you get what you pay for!!'
