@relation value

@attribute class {0,1}
@attribute description string

@data
1,'Good choice	We ve traveled the world this trip and have stayed at two Belhotel properties. They are well maintained by any standard. This one is fairly new and rooms are modern, cleanand well appointed. Hotel is not centrally located and transport is not cheap in this city...but it is priced right and well worth the investment.'
1,'Excellent value clean hotel in good location.	This hotel only opened on 1st October and so everything was shiny and new! We were able to check in at 8am and the staff were friendly and welcoming without being overbearing or &quot;tip-hungry&quot;! The room was a good size and was spotless. We were supplied with emergency toothpaste within about 30 seconds of calling reception and a problem with our safe was sorted out immediately. Room service was super-efficient and delicious. The small gym and pool were adequate but not ideal for spending the day at. This hotel is an excellent base for people who want to explore the city as it is ideally situated at equal distances from Jumeirah Beach, Dubai Creek, and the main shopping malls. (We travelled by taxi to all these locations but didn t pay very much). The only minor drawback for us was that the alcohol license had not yet been issued but was due any time.'
1,'excellent hotel - excellent service - excellent value for money	stayed at the &quot;gold swiss-belhotel dubai&quot; for a few nights in nov09.first impression -&gt; very impressivelast impression -&gt; very impressiveroom very comfortable, clean &amp; practicalrestaurant (kebab connection) - very friendly service, excellent food, comfortable ambiencelocation - very convenient, central - easy access to most locations in dubaibest about this hotel is the staff - always willing to assist, very courteous, well trained, etc (no arrogance as in many other 5star hotel)will definitely stay at this hotel again on my next trip to dubai'
1,'Excellent value quality and service	This place is as pleasant as my fellow reviewers describe. I stayed here for a weekend in early November and it didn´t feel like soft opening any more, everything was smooth. Reception was always friendly and efficient, as was staff at the door which was always quick to flag down a cab (no problem since major road in front, which is, of course, also a downside). Breakfast was absolutely outstanding with egg station, vast choice, friendly and efficient staff.The lobbly area is well designed, brand-new and spotless (there were 2 employees cleaning when I checked in at 2 a.m.!). There is a business center with free internet. There is also a cable in the rooms (which I did not use since I didn´t bring a computer). I had a single room which wasn´t huge but adequate size. The bed and pillows were quality, as were the bathroom finishings. Large TV. Very pleasant decor (see pix). Complimentary water bottles every day, which is a nice touch.While the area is not nice, the location geographically is smack in the middle: taxi rides (at night admittedly) from and to the airport took a mere 15 minutes, to Jumeirah Beach Park 10-15 min, 15 min to Dubai Mall and I guess the same to the center (where I didn´t go).The only (minor) downsides were: the location itself is totally non-descript, dusty highway with nothing much in the vicinity except the few shops described by previous reviewers; there is absolutely no view from the rooms or the breakfast room; no complimentary shuttles were available (airport, beach, malls, but taxis in dubai are very cheap); the size of the pool. These things would have otherwise caused me to give 4 stars instead of 5, but the excellent opening-rate outweighed this. All in all, it is very good value for money and I recommend staying here.'
1,'Perfect !	I ve been in Dubai since January for business and will stay until end July. I bumped into this hotel by luck as I wasn t especially looking for an hotel appartment... Service here is always great, and even though it s an hotel, rooms are furnished enough to look like it s home ! And location is very convenient: close to the beach and to main roads, &amp; neighbourhood is full of restaurants and local souqs,So, strongly recommended either for business or leisure !=D'
1,'Lovely	we had a stopover for 2 days at this hotel..n trust me it was too good!!!We had a one-bedrrom apartment with a seperate kitchen with washing machine, fridge, microwave, cutlery n many more things...not to mention 2 lcd tvs in hall and bedroom......bedroom was huge, done up beautifully, soft mattresses n pillows u can sink into.The hotel entrance is good, fancy lifts n all.Cant think of any negitive points...plz check out photos which i hv posted...'
1,'jewel of a place	Came accress this place by accident on the internet and what a little jem it is.Entrance hall all marble and brass with a glass elevator. I had a room with 2 double beds,cooker,fridge,microwave and washing machine and giant TV. A/C was very efficient.Breakfast was served in a lounge and plenty were having it but I had breakfast meetings all week so did not indulge myself.No room service but the reception had take away menus which you could have delivered to the room.Very nice pool on the rooftop with sun loungers.Good and clean and reasonably priced for Dubai at $154 for a room that would sleep 4Burjuman Mall is only 5mins walk as is Spinneys supermarket'
1,'Clean and friendly hotel	The hotel room was quite spacious and clean if a little tired with a well-equipped kitchenette with microwave, small hotplate and appliances such as toaster, kettle, etc. Close by was a good supermarket with Waitrose branded products!!! There was also a washing machine although I did not use it. The ensuite was quite acceptable. The staff were friendly and always helpful courteous. It was close to a future metro stop and within a moderate walk to an open station near the Burjuman Shopping Centre. For a budget hotel it was good value for money.'
1,'Great Value	I stayed for 7 nights at the Belvedere Court Apartments from 18 Jul - 25 Jul 09. It was offered to me by a Dubai Tour Operator and after reading reviews on tripadvisor regarding this hotel, I didn t think twice about booking it. It was affordable, perfectly situated ie close to Karama Shopping area, Beach and Spinneys Supermarket is also within walking distance. Service was excellent, although having said this, I think that the restaurant staff could do with a little more training in that on at least 3 occassions, there was a shortage of glasses for the juice, and the hotel wasn t that full at the time. Guests had to ask for the glasses. What I also found a little unprofessional was the fact that the porridge was re-filled into the bowls in full view of guests .... would have been better if the waiter took the bowls into the kitchen, filled them there and then brought them out again. Other than this, I d definitely recommend this hotel, rooms are spacious and the bed is HUGE. Every room is equipped with tea/coffee making facilities and a little kitchenette which includes microwave, fridge, cutlery &amp; washing machine. There s also a bus stop across the road .. bus trips are cheap and buses come along frequently on this road. Alternatively, if you re returning from somewhere, you should ask the bus driver to drop you off at Big Spinneys (there s a few and we weren t aware of this until a taxi driver dropped us off at a different Spinneys) or Burjuman Centre....these are the landmarks close to the hotel from where you can walk.'
1,'EXCELLENT	I went to Dubai on 15th to 23rd October, for my aunt s birthday and my Partner birthday. We had such an enjoyable time at the Gold Swiss Belhotel, this hotel is on Al Mina Road, Bur Dubai. The taxi from the airport cost 40dhrs which was roughly £7.00.Going to Jumeriah beach it cost only 17dhrs. (£3.)When we got to Dubai, there was a lot of traffic with people awaiting taxis, but it was quick, not alot of the taxis know the hotel, so in the end we had to tell the taxi drivers Capitol Hotel which was next door.Got to the hotel at 11pm, and our luggage was taken into the hotel, went to reception and we had to give in our passport, they scan our passport and returned them back to us.We was shown our rooms, (room 328) they was 8 of us in the group, all our rooms was upgraded, as they had a soft opening, and they ask if we paid by a certain time they will upgrade us.I had an Executive Suite as it was my partner birthday. Which consist of a bedroom with a Samsung 32 inch TV, a bathroom with a bathtub and also a shower unit, scales was also in the bathroom with toiletries? There was a safe in the wardrobe, also slippers and iron and ironing board in the wardrobe as well. They were also a living room with a settee, 2 armchairs and a mini bar. Another 32 inch tv, clock/radio with an alarm on it. There was a kettle, with tea coffee and also complimentary water every day. There was another toilet with a hand basin in there. About 10 minutes our luggage was brought to our rooms.My aunt s birthday was on 16th and when we got back there was a lovely birthday cake awaiting for her, and also on 22nd they was a nice laid out table with cake, and dates, and water, which was for my partner Room service was excellent, as we always required ice.Staffs was always polite with a smile on their face. Restaurant Manager (Premi Negi) was outstanding.Breakfast in the morning was excellent Hot and cold breakfast, with an omelette station and fried eggs, how we wanted them.The gym is a bit small, the pool is also small with only 4 sun loungers and about 4 tables with 4 chairs round them, and ashtrays.There were always clean towels on the table or on the sun loungers.The bar was not open as yet, as they have not got their alcoholic licence on time for opening. Gold Swiss-belhotel was opened on 1st October 2009.Across the road there are two restaurants, be careful how you cross the road as it is a busy road. Around the corner left or right there is a supermarket and another restaurant, they do deliver.Up the road on the same side of the hotel is a big gym, and also there is a billiards, pool tables which closes at 4am.From there you can see an express Carrefour supermarket which is inside a brand new mall. Going up to the right you will see so many restaurants and different shops.There is a good Market nearby Al Karama shopping, which you can get good things, it called a market but there are shops. I bought all my gifts there instead of the big malls.We had a lovely time at the hotel and will return back next year with more family and friends.Thank you to all the staff for an excellent stay.'
