-->[1]  [OSMlabel=(tourism) (hotel) Griffin House Hotel, lat=51.5147591, lgt=-0.1648277, score=0.6268115942028986]
-->[2]  [OSMlabel=(tourism) (hotel) Saracens, lat=51.7343751, lgt=0.4733813, score=0.625]
-->[3]  [OSMlabel=(tourism) (hotel) Holiday Inn Express- Harlow, lat=51.7692955, lgt=0.0967175, score=0.625]
-->[4]  [OSMlabel=(tourism) (hotel) Cumberland Hotel, lat=51.5817549, lgt=-0.3321528, score=0.625]
-->[5]  [OSMlabel=(tourism) (hotel) Carr-Saunders Hall, lat=51.5220169, lgt=-0.1382046, score=0.625]
-->[6]  [OSMlabel=(tourism) (hotel) Cherry Court Hotel, lat=51.4925642, lgt=-0.1450921, score=0.625]
-->[7]  [OSMlabel=(tourism) (hotel) The George Hotel, lat=51.1494806, lgt=0.8721089, score=0.625]
-->[8]  [OSMlabel=(tourism) (hotel) Angel Posting House & Livery, lat=51.2355447, lgt=-0.5737884, score=0.625]
-->[9]  [OSMlabel=(tourism) (hotel) Annexe Hotel, lat=51.4921231, lgt=-0.145825, score=0.625]
-->[10]  [OSMlabel=(tourism) (hotel) Comfort Inn Victoria, lat=51.4930476, lgt=-0.1443144, score=0.625]
-->[11]  [OSMlabel=(tourism) (hotel) Comfort Inn, lat=51.4919628, lgt=-0.146031, score=0.625]
-->[12]  [OSMlabel=(tourism) (hotel) Alexandar House Hotel, lat=51.4921926, lgt=-0.1457907, score=0.625]
-->[13]  [OSMlabel=(tourism) (hotel) Cedar Guest House, lat=51.492246, lgt=-0.1457306, score=0.625]
-->[14]  [OSMlabel=(tourism) (hotel) Holly House Hotel, lat=51.4924811, lgt=-0.145413, score=0.625]
-->[15]  [OSMlabel=(tourism) (hotel) Ivy House Hotel, lat=51.4925292, lgt=-0.1453529, score=0.625]
