-->[1]  [OSMlabel=(tourism) (hotel) Rye Retreat, lat=50.9519448, lgt=0.7325404, score=0.6300639658848614]
-->[2]  [OSMlabel=(tourism) (hotel) The Old Borough Arms, lat=50.9496681, lgt=0.7307229, score=0.6300639658848614]
-->[3]  [OSMlabel=(tourism) (hotel) Hope Anchor Hotel, lat=50.9492222, lgt=0.7318618, score=0.6300639658848614]
-->[4]  [OSMlabel=(tourism) (hotel) Hotel George, lat=50.9510188, lgt=0.7334992, score=0.6300639658848614]
-->[5]  [OSMlabel=(tourism) (hotel) Flackley Ash, lat=50.9787272, lgt=0.6768892, score=0.6300639658848614]
-->[6]  [OSMlabel=(tourism) (hotel) The Railway Hotel, lat=51.0333405, lgt=0.8157909, score=0.6300639658848614]
-->[7]  [OSMlabel=(tourism) (hotel) York & Albany, lat=51.5360898, lgt=-0.1464514, score=0.6124338624338624]
-->[8]  [OSMlabel=(tourism) (hotel) Draycott Hotel, lat=51.4929221, lgt=-0.1597612, score=0.6106821106821108]
-->[9]  [OSMlabel=(tourism) (hotel) The Five Arrows Hotel, lat=51.8454561, lgt=-0.9254593, score=0.6103174603174604]
-->[10]  [OSMlabel=(tourism) (hotel) Lower Brook Farm Bed & Breakfast, lat=51.770652, lgt=-1.0656481, score=0.6103174603174604]
-->[11]  [OSMlabel=(tourism) (hotel) Thameside Hotel, lat=51.4635278, lgt=-0.97599, score=0.6103174603174604]
-->[12]  [OSMlabel=(tourism) (hotel) The Spread Eagle, lat=51.7467265, lgt=-0.9775839, score=0.6103174603174604]
-->[13]  [OSMlabel=(tourism) (hotel) Le Manoir Aux Quat'Saisons, lat=51.7164887, lgt=-1.0917744, score=0.6103174603174604]
-->[14]  [OSMlabel=(tourism) (hotel) Le Manoir aux Quat'Saisons, lat=51.7161396, lgt=-1.0917203, score=0.6103174603174604]
-->[15]  [OSMlabel=(tourism) (hotel) The Roebuck Hotel, lat=51.4736543, lgt=-1.034586, score=0.6103174603174604]
-->[16]  [OSMlabel=(tourism) (hotel) Tally Ho, lat=51.8576372, lgt=-1.1149228, score=0.6103174603174604]
-->[17]  [OSMlabel=(tourism) (hotel) The Two Brewers, lat=51.70379755, lgt=-0.4911594, score=0.60967993754879]
-->[18]  [OSMlabel=(tourism) (hotel) Hartwell House, lat=51.8050753, lgt=-0.8468194, score=0.60967993754879]
-->[19]  [OSMlabel=(tourism) (hotel) The Old Palace Lodge Hotel, lat=51.8869055, lgt=-0.5175112, score=0.60967993754879]
-->[20]  [OSMlabel=(tourism) (hotel) Pendley Manor, lat=51.7969721, lgt=-0.6347195, score=0.60967993754879]
