-->[1]  [OSMlabel=(tourism) (hotel) Bosco Hotel & Lounge, lat=51.3936864, lgt=-0.3033492, score=0.6396825396825397]
-->[2]  [OSMlabel=(tourism) (hotel) Malmaison Hotel, lat=51.5207376, lgt=-0.1002415, score=0.636231884057971]
-->[3]  [OSMlabel=(tourism) (hotel) Astor Court, lat=51.5198739, lgt=-0.1432064, score=0.6354609929078014]
-->[4]  [OSMlabel=(tourism) (hotel) Cadogan Hotel, lat=51.4969518, lgt=-0.1591526, score=0.6340136054421769]
-->[5]  [OSMlabel=(tourism) (hotel) Sheraton Belgravia, lat=51.4973611, lgt=-0.1562075, score=0.6340136054421769]
-->[6]  [OSMlabel=(tourism) (hotel) The Drayton Court Hotel, lat=51.5142404, lgt=-0.3192305, score=0.6326797385620916]
-->[7]  [OSMlabel=(tourism) (hotel) Rye Retreat, lat=50.9519448, lgt=0.7325404, score=0.6320512820512821]
-->[8]  [OSMlabel=(tourism) (hotel) Hotel George, lat=50.9510188, lgt=0.7334992, score=0.6320512820512821]
-->[9]  [OSMlabel=(tourism) (hotel) Kew Gardens Hotel, lat=51.4759116, lgt=-0.2867226, score=0.6308641975308642]
-->[10]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.6303030303030303]
-->[11]  [OSMlabel=(tourism) (hotel) The Arch, lat=51.5160759, lgt=-0.1600623, score=0.6303030303030303]
-->[12]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5151886, lgt=-0.1600185, score=0.6303030303030303]
-->[13]  [OSMlabel=(tourism) (hotel) Ashling Tara Hotel, lat=51.3777941, lgt=-0.192105, score=0.6303030303030303]
-->[14]  [OSMlabel=(tourism) (hotel) Kadimah, lat=51.57297, lgt=-0.0706834, score=0.6303030303030303]
-->[15]  [OSMlabel=(tourism) (hotel) Glynne Court Hotel, lat=51.5157145, lgt=-0.1602317, score=0.6303030303030303]
-->[16]  [OSMlabel=(tourism) (hotel) Marble Arch Inn, lat=51.51516, lgt=-0.161579, score=0.6303030303030303]
-->[17]  [OSMlabel=(tourism) (hotel) Boston Court Hotel, lat=51.515442, lgt=-0.1610345, score=0.6303030303030303]
-->[18]  [OSMlabel=(tourism) (hotel) The Hadleigh Hotel, lat=51.5154778, lgt=-0.160789, score=0.6303030303030303]
-->[19]  [OSMlabel=(tourism) (hotel) Berkeley Court Hotel, lat=51.5155213, lgt=-0.1605355, score=0.6303030303030303]
-->[20]  [OSMlabel=(tourism) (hotel) The Montcalm Hotel Nikko, lat=51.5152781, lgt=-0.1593618, score=0.6303030303030303]
