-->[1]  [OSMlabel=(tourism) (hotel) Kew Gardens Hotel, lat=51.4759116, lgt=-0.2867226, score=0.6289855072463768]
-->[2]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=0.6283687943262412]
-->[3]  [OSMlabel=(tourism) (hotel) Oakland Hotel, lat=51.644636, lgt=0.6192697, score=0.6283687943262412]
-->[4]  [OSMlabel=(tourism) (hotel) Ace Hotel London Shoreditch, lat=51.525688, lgt=-0.077428, score=0.6277777777777778]
-->[5]  [OSMlabel=(tourism) (hotel) The Angel Hotel, lat=50.9877437, lgt=-0.7382723, score=0.6272108843537415]
-->[6]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.6246913580246914]
-->[7]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=0.6246913580246914]
-->[8]  [OSMlabel=(tourism) (hotel) The Arch, lat=51.5160759, lgt=-0.1600623, score=0.6246913580246914]
-->[9]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5151886, lgt=-0.1600185, score=0.6246913580246914]
-->[10]  [OSMlabel=(tourism) (hotel) Glynne Court Hotel, lat=51.5157145, lgt=-0.1602317, score=0.6246913580246914]
-->[11]  [OSMlabel=(tourism) (hotel) Marble Arch Inn, lat=51.51516, lgt=-0.161579, score=0.6246913580246914]
-->[12]  [OSMlabel=(tourism) (hotel) Boston Court Hotel, lat=51.515442, lgt=-0.1610345, score=0.6246913580246914]
-->[13]  [OSMlabel=(tourism) (hotel) The Hadleigh Hotel, lat=51.5154778, lgt=-0.160789, score=0.6246913580246914]
-->[14]  [OSMlabel=(tourism) (hotel) Berkeley Court Hotel, lat=51.5155213, lgt=-0.1605355, score=0.6246913580246914]
-->[15]  [OSMlabel=(tourism) (hotel) The Montcalm Hotel Nikko, lat=51.5152781, lgt=-0.1593618, score=0.6246913580246914]
-->[16]  [OSMlabel=(tourism) (hotel) Carr-Saunders Hall, lat=51.5220169, lgt=-0.1382046, score=0.6238095238095238]
-->[17]  [OSMlabel=(tourism) (hotel) The Drayton Court Hotel, lat=51.5142404, lgt=-0.3192305, score=0.623391812865497]
-->[18]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=0.6225988700564972]
-->[19]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51258, lgt=-0.1508695, score=0.6225988700564972]
-->[20]  [OSMlabel=(tourism) (hotel) Premier Inn, lat=51.4995182, lgt=-0.0791295, score=0.6218579234972678]
