-->[1]  [OSMlabel=(tourism) (hotel) The Abbey Court, lat=51.509844, lgt=-0.196707, score=0.6158536585365854]
-->[2]  [OSMlabel=(tourism) (hotel) London Hotel, lat=51.4615782, lgt=-0.1130331, score=0.6150793650793651]
-->[3]  [OSMlabel=(tourism) (hotel) Novotel, lat=51.4568873, lgt=-0.9726533, score=0.6150793650793651]
-->[4]  [OSMlabel=(tourism) (hotel) Threadneedle, lat=51.5139693, lgt=-0.0860502, score=0.6150793650793651]
-->[5]  [OSMlabel=(tourism) (hotel) Club Quarters, lat=51.5127507, lgt=-0.0846424, score=0.6150793650793651]
-->[6]  [OSMlabel=(tourism) (hotel) Ibis, lat=51.4568888, lgt=-0.9725163, score=0.6150793650793651]
-->[7]  [OSMlabel=(tourism) (hotel) Cheshire, lat=51.51743, lgt=-0.1295515, score=0.6150793650793651]
-->[8]  [OSMlabel=(tourism) (hotel) St Giles Hotel, lat=51.5174483, lgt=-0.1304949, score=0.6150793650793651]
-->[9]  [OSMlabel=(tourism) (hotel) The George Hotel, lat=51.1494806, lgt=0.8721089, score=0.6150793650793651]
-->[10]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=0.6143410852713178]
-->[11]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=0.6129629629629629]
-->[12]  [OSMlabel=(tourism) (hotel) Premier Inn, lat=51.5110723, lgt=-0.1302533, score=0.6129629629629629]
-->[13]  [OSMlabel=(tourism) (hotel) Courthouse, lat=51.5143154, lgt=-0.1394202, score=0.6129629629629629]
-->[14]  [OSMlabel=(tourism) (hotel) Sanderson Hotel, lat=51.517479, lgt=-0.137138, score=0.6129629629629629]
-->[15]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51258, lgt=-0.1508695, score=0.6129629629629629]
-->[16]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.6123188405797101]
-->[17]  [OSMlabel=(tourism) (hotel) Travelodge, lat=51.3344414, lgt=-0.267888, score=0.6123188405797101]
-->[18]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5209547, lgt=-0.1560079, score=0.6123188405797101]
-->[19]  [OSMlabel=(tourism) (hotel) Angel Posting House & Livery, lat=51.2355447, lgt=-0.5737884, score=0.6123188405797101]
-->[20]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.6105442176870749]
