-->[1]  [OSMlabel=(tourism) (hotel) The Old Bell, lat=51.8987875, lgt=0.1911369, score=0.6879432624113475]
-->[2]  [OSMlabel=(tourism) (hotel) Savoro Restaurant with Rooms, lat=51.6569313, lgt=-0.2012363, score=0.6879432624113475]
-->[3]  [OSMlabel=(tourism) (hotel) Holiday Inn Express- Harlow, lat=51.7692955, lgt=0.0967175, score=0.6879432624113475]
-->[4]  [OSMlabel=(tourism) (hotel) Travelodge, lat=51.7246072, lgt=0.1905206, score=0.6879432624113475]
-->[5]  [OSMlabel=(tourism) (hotel) The Bell Hotel, lat=51.6922046, lgt=0.0960747, score=0.6879432624113475]
-->[6]  [OSMlabel=(tourism) (hotel) The Churchgate Street Hotel, lat=51.7807607, lgt=0.1501773, score=0.6879432624113475]
-->[7]  [OSMlabel=(tourism) (hotel) Menzies Prince Regent, lat=51.6062041, lgt=0.0585945, score=0.6879432624113475]
-->[8]  [OSMlabel=(tourism) (hotel) Premier Inn, lat=51.6752531, lgt=-0.0196457, score=0.6879432624113475]
-->[9]  [OSMlabel=(tourism) (hotel) Travelodge Hatfield Central, lat=51.7634597, lgt=-0.2399385, score=0.6879432624113475]
-->[10]  [OSMlabel=(tourism) (hotel) Travelodge London Whetstone, lat=51.6351333, lgt=-0.1756612, score=0.6879432624113475]
-->[11]  [OSMlabel=(tourism) (hotel) The Gate, lat=51.9065656, lgt=-0.2063972, score=0.6879432624113475]
-->[12]  [OSMlabel=(tourism) (hotel) Holtwhites Hotel, lat=51.6596512, lgt=-0.0878588, score=0.6879432624113475]
-->[13]  [OSMlabel=(tourism) (hotel) Premier Inn Hatfield, lat=51.7685204, lgt=-0.2334703, score=0.6879432624113475]
-->[14]  [OSMlabel=(tourism) (hotel) Beales Hotel, lat=51.7622411, lgt=-0.241193, score=0.6879432624113475]
-->[15]  [OSMlabel=(tourism) (hotel) Coltsfoot Country Retreat, lat=51.8407164, lgt=-0.1619153, score=0.6879432624113475]
-->[16]  [OSMlabel=(tourism) (hotel) Roydon Mill Estate, lat=51.7735067, lgt=0.0311764, score=0.6879432624113475]
-->[17]  [OSMlabel=(tourism) (hotel) Mariott Cheshunt, lat=51.720651, lgt=-0.032198, score=0.6879432624113475]
-->[18]  [OSMlabel=(tourism) (hotel) The Thatcher House Hotel, lat=51.7004057, lgt=0.1138696, score=0.6879432624113475]
-->[19]  [OSMlabel=(tourism) (hotel) Tewin Bury Farm Hotel, lat=51.8110961, lgt=-0.1650973, score=0.6879432624113475]
-->[20]  [OSMlabel=(tourism) (hotel) Comfort Hotel (closed), lat=51.6603702, lgt=-0.0981505, score=0.6879432624113475]
