-->[1]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=0.5974358974358974]
-->[2]  [OSMlabel=(tourism) (hotel) Flossie's B&B, lat=51.0855136, lgt=-0.9943336, score=0.5974358974358974]
-->[3]  [OSMlabel=(tourism) (hotel) The Crown Hotel, lat=51.1501494, lgt=-0.9738755, score=0.5974358974358974]
-->[4]  [OSMlabel=(tourism) (hotel) The Swan Hotel, lat=51.1486758, lgt=-0.9756018, score=0.5974358974358974]
-->[5]  [OSMlabel=(tourism) (hotel) King's Arms, lat=51.1859025, lgt=-0.6110737, score=0.5974358974358974]
-->[6]  [OSMlabel=(tourism) (hotel) The Angel Hotel, lat=50.9877437, lgt=-0.7382723, score=0.5974358974358974]
-->[7]  [OSMlabel=(tourism) (hotel) Lythe Hill Hotel, lat=51.0842311, lgt=-0.6817631, score=0.5974358974358974]
-->[8]  [OSMlabel=(tourism) (hotel) Spread Eagle Hotel, lat=50.9854214, lgt=-0.7380335, score=0.5974358974358974]
-->[9]  [OSMlabel=(tourism) (hotel) Frensham Pond Hotel, lat=51.1528682, lgt=-0.7979689, score=0.5974358974358974]
-->[10]  [OSMlabel=(tourism) (hotel) Travelodge Liphook, lat=51.0843178, lgt=-0.818929, score=0.5974358974358974]
-->[11]  [OSMlabel=(tourism) (hotel) Alton House Hotel, lat=51.1517236, lgt=-0.9699992, score=0.5974358974358974]
-->[12]  [OSMlabel=(tourism) (hotel) Devil's Punchbowl Hotel, lat=51.1135889, lgt=-0.730646, score=0.5974358974358974]
-->[13]  [OSMlabel=(tourism) (hotel) Park House Hotel, lat=50.9611084, lgt=-0.7740392, score=0.5974358974358974]
-->[14]  [OSMlabel=(tourism) (hotel) Langrish House, lat=51.0029908, lgt=-1.0025849, score=0.5974358974358974]
-->[15]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642206, lgt=-0.8360458, score=0.5974358974358974]
-->[16]  [OSMlabel=(tourism) (hotel) Southdowns Hotel, lat=50.9905, lgt=-0.825627, score=0.5974358974358974]
-->[17]  [OSMlabel=(tourism) (hotel) Hartwell House, lat=51.8050753, lgt=-0.8468194, score=0.5924242424242424]
-->[18]  [OSMlabel=(tourism) (hotel) Rye Retreat, lat=50.9519448, lgt=0.7325404, score=0.5924242424242424]
-->[19]  [OSMlabel=(tourism) (hotel) The Five Arrows Hotel, lat=51.8454561, lgt=-0.9254593, score=0.5924242424242424]
-->[20]  [OSMlabel=(tourism) (hotel) Novotel, lat=51.4568873, lgt=-0.9726533, score=0.5924242424242424]
