-->[1]  [OSMlabel=(tourism) (hotel) Griffin House Hotel, lat=51.5147591, lgt=-0.1648277, score=0.6060606060606061]
-->[2]  [OSMlabel=(tourism) (hotel) Travelodge, lat=51.3805078, lgt=-0.2807418, score=0.6055555555555555]
-->[3]  [OSMlabel=(tourism) (hotel) London Hotel, lat=51.4615782, lgt=-0.1130331, score=0.6037414965986394]
-->[4]  [OSMlabel=(tourism) (hotel) The Abbey Court, lat=51.509844, lgt=-0.196707, score=0.6029411764705882]
-->[5]  [OSMlabel=(tourism) (hotel) Hilltop Hotel, lat=51.510805, lgt=-0.196909, score=0.6029411764705882]
-->[6]  [OSMlabel=(tourism) (hotel) Sir Christopher Wren's House Hotel & Spa, lat=51.4852395, lgt=-0.6079171, score=0.6013513513513513]
-->[7]  [OSMlabel=(tourism) (hotel) Berjaya eden Park Hotel, lat=51.5120259, lgt=-0.1866141, score=0.6011904761904762]
-->[8]  [OSMlabel=(tourism) (hotel) Shaftesbury Hyde Park International, lat=51.5123977, lgt=-0.1861753, score=0.6011904761904762]
-->[9]  [OSMlabel=(tourism) (hotel) Vancouver Studios, lat=51.5131406, lgt=-0.1908564, score=0.6011904761904762]
-->[10]  [OSMlabel=(tourism) (hotel) London House Hotel, lat=51.513948, lgt=-0.1895392, score=0.6011904761904762]
-->[11]  [OSMlabel=(tourism) (hotel) Phoenix Hotel, lat=51.5135904, lgt=-0.1894538, score=0.6011904761904762]
-->[12]  [OSMlabel=(tourism) (hotel) Somerset Kensington Gardens, lat=51.5132025, lgt=-0.1906088, score=0.6011904761904762]
-->[13]  [OSMlabel=(tourism) (hotel) Grand Plaza, lat=51.5133527, lgt=-0.1910678, score=0.6011904761904762]
-->[14]  [OSMlabel=(tourism) (hotel) Best Western Victoria Palace, lat=51.4916453, lgt=-0.1415018, score=0.6004273504273504]
-->[15]  [OSMlabel=(tourism) (hotel) The Park Hotel, lat=51.490488, lgt=-0.138854, score=0.6004273504273504]
-->[16]  [OSMlabel=(tourism) (hotel) St Leonards Hotel, lat=51.492453, lgt=-0.140664, score=0.6004273504273504]
-->[17]  [OSMlabel=(tourism) (hotel) The Chester Hotel, lat=51.492389, lgt=-0.140855, score=0.6004273504273504]
-->[18]  [OSMlabel=(tourism) (hotel) Romany House Hotel, lat=51.492265, lgt=-0.141182, score=0.6004273504273504]
-->[19]  [OSMlabel=(tourism) (hotel) Melita Hotel, lat=51.4901228, lgt=-0.1387816, score=0.6004273504273504]
-->[20]  [OSMlabel=(tourism) (hotel) Romanos Hotel, lat=51.490223, lgt=-0.138658, score=0.6004273504273504]
