-->[1]  [OSMlabel=(tourism) (hotel) Premier Inn, lat=51.5110723, lgt=-0.1302533, score=0.4103626347583772]
-->[2]  [OSMlabel=(tourism) (hotel) Leicester Square Hotel, lat=51.509647, lgt=-0.130148, score=0.4103626347583772]
-->[3]  [OSMlabel=(tourism) (hotel) Hotel Royal National, lat=51.5231059, lgt=-0.1269058, score=0.4103626347583772]
-->[4]  [OSMlabel=(tourism) (hotel) Hotel Tavistock, lat=51.5243225, lgt=-0.1283055, score=0.4103626347583772]
-->[5]  [OSMlabel=(tourism) (hotel) The Crown, lat=51.3920905, lgt=-0.5029463, score=0.3554767686779584]
-->[6]  [OSMlabel=(tourism) (hotel) St James's Hotel, lat=51.493543, lgt=-0.215281, score=0.3351757395324666]
-->[7]  [OSMlabel=(tourism) (hotel) Seven Dials Hotel, lat=51.51481, lgt=-0.126725, score=0.3351757395324666]
-->[8]  [OSMlabel=(tourism) (hotel) Coventry Garden Hotel, lat=51.514594, lgt=-0.127048, score=0.3351757395324666]
-->[9]  [OSMlabel=(tourism) (hotel) Radisson Edwardian, lat=51.514283, lgt=-0.127063, score=0.3351757395324666]
-->[10]  [OSMlabel=(tourism) (hotel) Angel Posting House & Livery, lat=51.2355447, lgt=-0.5737884, score=0.3351757395324666]
-->[11]  [OSMlabel=(tourism) (hotel) Jolly Hotel St. Ermins, lat=51.4988893, lgt=-0.1343829, score=0.3351757395324666]
-->[12]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.30321606093791126]
-->[13]  [OSMlabel=(tourism) (hotel) The Old Bell, lat=51.8987875, lgt=0.1911369, score=0.30321606093791126]
-->[14]  [OSMlabel=(tourism) (hotel) Holiday Inn, lat=51.39182325, lgt=-0.4244812, score=0.30321606093791126]
-->[15]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.30321606093791126]
