-->[1]  [OSMlabel=(tourism) (hotel) Ockenden Manor, lat=51.0066888, lgt=-0.144193, score=0.4222338783940228]
-->[2]  [OSMlabel=(tourism) (hotel) Premier Inn Burgess Hill, lat=50.9513187, lgt=-0.1509959, score=0.4222338783940228]
-->[3]  [OSMlabel=(tourism) (hotel) The Old Bell, lat=51.8987875, lgt=0.1911369, score=0.4173629523657313]
-->[4]  [OSMlabel=(tourism) (hotel) Lower Brook Farm Bed & Breakfast, lat=51.770652, lgt=-1.0656481, score=0.36115568268892584]
-->[5]  [OSMlabel=(tourism) (hotel) Le Manoir Aux Quat'Saisons, lat=51.7164887, lgt=-1.0917744, score=0.36115568268892584]
-->[6]  [OSMlabel=(tourism) (hotel) Le Manoir aux Quat'Saisons, lat=51.7161396, lgt=-1.0917203, score=0.36115568268892584]
-->[7]  [OSMlabel=(tourism) (hotel) Tally Ho, lat=51.8576372, lgt=-1.1149228, score=0.36115568268892584]
-->[8]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.3593642200457754]
-->[9]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=0.3593642200457754]
-->[10]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.3593642200457754]
-->[11]  [OSMlabel=(tourism) (hotel) The White Hart, lat=51.74980665, lgt=-0.3401311, score=0.3593642200457754]
-->[12]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.3593642200457754]
-->[13]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=0.3593642200457754]
-->[14]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=0.3593642200457754]
-->[15]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=0.3593642200457754]
