-->[1]  [OSMlabel=(tourism) (hotel) The Five Arrows Hotel, lat=51.8454561, lgt=-0.9254593, score=0.3799783574435262]
-->[2]  [OSMlabel=(tourism) (hotel) Horwood House, lat=51.9589995, lgt=-0.8428578, score=0.3799783574435262]
-->[3]  [OSMlabel=(tourism) (hotel) Threadneedle, lat=51.5139693, lgt=-0.0860502, score=0.3799783574435262]
-->[4]  [OSMlabel=(tourism) (hotel) The Brownlow, lat=51.848491, lgt=-0.644166, score=0.3799783574435262]
-->[5]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=0.3351757395324666]
-->[6]  [OSMlabel=(tourism) (hotel) The Royal Hotel, lat=51.48284915, lgt=0.2310684, score=0.3351757395324666]
-->[7]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=0.3351757395324666]
-->[8]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.3351757395324666]
-->[9]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=0.3351757395324666]
-->[10]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.3351757395324666]
-->[11]  [OSMlabel=(tourism) (hotel) The Old Bell, lat=51.8987875, lgt=0.1911369, score=0.3351757395324666]
-->[12]  [OSMlabel=(tourism) (hotel) The Ship Hotel, lat=51.37410575, lgt=-0.45626795, score=0.3351757395324666]
-->[13]  [OSMlabel=(tourism) (hotel) The White Hart, lat=51.74980665, lgt=-0.3401311, score=0.3351757395324666]
-->[14]  [OSMlabel=(tourism) (hotel) Holiday Inn, lat=51.39182325, lgt=-0.4244812, score=0.3351757395324666]
-->[15]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.3351757395324666]
-->[16]  [OSMlabel=(tourism) (hotel) The Two Brewers, lat=51.70379755, lgt=-0.4911594, score=0.3351757395324666]
-->[17]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=0.3351757395324666]
-->[18]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=0.3351757395324666]
-->[19]  [OSMlabel=(tourism) (hotel) The Bull, lat=51.50053835, lgt=-0.87054765, score=0.3351757395324666]
-->[20]  [OSMlabel=(tourism) (hotel) Talbot Inn, lat=51.3006821, lgt=-0.4888882, score=0.3351757395324666]
