-->[1]  [OSMlabel=(tourism) (hotel) The Lord Lister Hotel, lat=51.9449519, lgt=-0.2768933, score=0.40662263225063455]
-->[2]  [OSMlabel=(tourism) (hotel) The Gate, lat=51.9065656, lgt=-0.2063972, score=0.40662263225063455]
-->[3]  [OSMlabel=(tourism) (hotel) Offley Place, lat=51.9294233, lgt=-0.3357509, score=0.40662263225063455]
-->[4]  [OSMlabel=(tourism) (hotel) Holiday Inn Express, lat=51.876573, lgt=-0.380328, score=0.40662263225063455]
-->[5]  [OSMlabel=(tourism) (hotel) Coltsfoot Country Retreat, lat=51.8407164, lgt=-0.1619153, score=0.40662263225063455]
-->[6]  [OSMlabel=(tourism) (hotel) Tewin Bury Farm Hotel, lat=51.8110961, lgt=-0.1650973, score=0.40662263225063455]
-->[7]  [OSMlabel=(tourism) (hotel) White Horse Hotel, lat=51.7916983, lgt=-0.1066177, score=0.40662263225063455]
-->[8]  [OSMlabel=(tourism) (hotel) Redcoats Farmhouse Hotel, lat=51.9246314, lgt=-0.2449757, score=0.40662263225063455]
-->[9]  [OSMlabel=(tourism) (hotel) Letchworth Hall Hotel, lat=51.9626168, lgt=-0.2299013, score=0.40662263225063455]
-->[10]  [OSMlabel=(tourism) (hotel) Salisbury Arms Hotel, lat=51.7960145, lgt=-0.0775493, score=0.40662263225063455]
-->[11]  [OSMlabel=(tourism) (hotel) Hertford House Hotel, lat=51.7960716, lgt=-0.0778967, score=0.40662263225063455]
-->[12]  [OSMlabel=(tourism) (hotel) The Roebuck Hotel, lat=51.8154073, lgt=-0.0348487, score=0.40662263225063455]
-->[13]  [OSMlabel=(tourism) (hotel) Novotel, lat=51.8864652, lgt=-0.2077666, score=0.40662263225063455]
-->[14]  [OSMlabel=(tourism) (hotel) The Royal Hotel, lat=51.48284915, lgt=0.2310684, score=0.3828627758071346]
-->[15]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.3828627758071346]
-->[16]  [OSMlabel=(tourism) (hotel) The Bull, lat=51.50053835, lgt=-0.87054765, score=0.3828627758071346]
-->[17]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=0.3828627758071346]
-->[18]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=0.3828627758071346]
-->[19]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=0.3828627758071346]
-->[20]  [OSMlabel=(tourism) (hotel) united lodge hotel, lat=51.5743015, lgt=-0.0977912, score=0.3828627758071346]
