-->[1]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=10.0]
-->[2]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=10.0]
-->[3]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=10.0]
-->[4]  [OSMlabel=(tourism) (hotel) The Ship Hotel, lat=51.37410575, lgt=-0.45626795, score=10.0]
-->[5]  [OSMlabel=(tourism) (hotel) The White Hart, lat=51.74980665, lgt=-0.3401311, score=10.0]
-->[6]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=10.0]
-->[7]  [OSMlabel=(tourism) (hotel) The Two Brewers, lat=51.70379755, lgt=-0.4911594, score=10.0]
-->[8]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=10.0]
-->[9]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=10.0]
-->[10]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=10.0]
-->[11]  [OSMlabel=(tourism) (hotel) The Stanwell Hotel, lat=51.4552856, lgt=-0.4826869, score=10.0]
-->[12]  [OSMlabel=(tourism) (hotel) united lodge hotel, lat=51.5743015, lgt=-0.0977912, score=10.0]
-->[13]  [OSMlabel=(tourism) (hotel) Keystone Hostel, lat=51.5309713, lgt=-0.1208364, score=10.0]
-->[14]  [OSMlabel=(tourism) (hotel) The Melville Hotel, lat=51.5288076, lgt=-0.1227249, score=10.0]
-->[15]  [OSMlabel=(tourism) (hotel) The Blair Victoria & Tudor Inn Hotel, lat=51.4914874, lgt=-0.1420448, score=10.0]
-->[16]  [OSMlabel=(tourism) (hotel) Best Western Victoria Palace, lat=51.4916453, lgt=-0.1415018, score=10.0]
-->[17]  [OSMlabel=(tourism) (hotel) Saracens, lat=51.7343751, lgt=0.4733813, score=10.0]
-->[18]  [OSMlabel=(tourism) (hotel) Savoro Restaurant with Rooms, lat=51.6569313, lgt=-0.2012363, score=10.0]
-->[19]  [OSMlabel=(tourism) (hotel) London Hotel, lat=51.4615782, lgt=-0.1130331, score=10.0]
-->[20]  [OSMlabel=(tourism) (hotel) London Continental Hotel, lat=51.5197457, lgt=-0.1586212, score=10.0]
