-->[1]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=26.0]
-->[2]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=26.0]
-->[3]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=26.0]
-->[4]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=26.0]
-->[5]  [OSMlabel=(tourism) (hotel) The White Hart, lat=51.74980665, lgt=-0.3401311, score=26.0]
-->[6]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=26.0]
-->[7]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=26.0]
-->[8]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=26.0]
-->[9]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=26.0]
-->[10]  [OSMlabel=(tourism) (hotel) mk london, lat=51.4643533, lgt=-0.2136615, score=26.0]
-->[11]  [OSMlabel=(tourism) (hotel) St James's Hotel, lat=51.493543, lgt=-0.215281, score=26.0]
-->[12]  [OSMlabel=(tourism) (hotel) New Linden Hotel, lat=51.5135487, lgt=-0.1933951, score=26.0]
-->[13]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=26.0]
-->[14]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=26.0]
-->[15]  [OSMlabel=(tourism) (hotel) Radisson Blu Edwardian Vanderbilt Hotel, lat=51.4952842, lgt=-0.1816667, score=26.0]
