-->[1]  [OSMlabel=(tourism) (hotel) Jenkins Hotel, lat=51.5266481, lgt=-0.1275035, score=13.0]
-->[2]  [OSMlabel=(tourism) (hotel) Crescent Hotel, lat=51.526277, lgt=-0.127135, score=13.0]
-->[3]  [OSMlabel=(tourism) (hotel) Avonmore Hotel, lat=51.526096, lgt=-0.1265675, score=13.0]
-->[4]  [OSMlabel=(tourism) (hotel) Euro Hotel, lat=51.526208, lgt=-0.126995, score=13.0]
-->[5]  [OSMlabel=(tourism) (hotel) The George, lat=51.526072, lgt=-0.126369, score=13.0]
-->[6]  [OSMlabel=(tourism) (hotel) Judd Hotel, lat=51.5263642, lgt=-0.1272431, score=13.0]
-->[7]  [OSMlabel=(tourism) (hotel) Ambassadors Bloomsbury, lat=51.5267324, lgt=-0.1297521, score=13.0]
-->[8]  [OSMlabel=(tourism) (hotel) Mentone Hotel, lat=51.5261461, lgt=-0.1268075, score=13.0]
-->[9]  [OSMlabel=(tourism) (hotel) Courthouse, lat=51.5143154, lgt=-0.1394202, score=13.0]
-->[10]  [OSMlabel=(tourism) (hotel) Harlingford Hotel, lat=51.5260651, lgt=-0.1261571, score=13.0]
-->[11]  [OSMlabel=(tourism) (hotel) County Hotel, lat=51.526395, lgt=-0.129567, score=13.0]
-->[12]  [OSMlabel=(tourism) (hotel) Hotel Tavistock, lat=51.5243225, lgt=-0.1283055, score=13.0]
-->[13]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=11.0]
-->[14]  [OSMlabel=(tourism) (hotel) The Royal Hotel, lat=51.48284915, lgt=0.2310684, score=11.0]
-->[15]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=11.0]
