-->[1]  [OSMlabel=(tourism) (hotel) Best Western Victoria Palace, lat=51.4916453, lgt=-0.1415018, score=0.6146698299723211]
-->[2]  [OSMlabel=(tourism) (hotel) The Park Hotel, lat=51.490488, lgt=-0.138854, score=0.6146698299723211]
-->[3]  [OSMlabel=(tourism) (hotel) St Leonards Hotel, lat=51.492453, lgt=-0.140664, score=0.6146698299723211]
-->[4]  [OSMlabel=(tourism) (hotel) The Chester Hotel, lat=51.492389, lgt=-0.140855, score=0.6146698299723211]
-->[5]  [OSMlabel=(tourism) (hotel) Romany House Hotel, lat=51.492265, lgt=-0.141182, score=0.6146698299723211]
-->[6]  [OSMlabel=(tourism) (hotel) Melita Hotel, lat=51.4901228, lgt=-0.1387816, score=0.6146698299723211]
-->[7]  [OSMlabel=(tourism) (hotel) Romanos Hotel, lat=51.490223, lgt=-0.138658, score=0.6146698299723211]
-->[8]  [OSMlabel=(tourism) (hotel) Central House Hotel, lat=51.4908678, lgt=-0.1389894, score=0.6146698299723211]
-->[9]  [OSMlabel=(tourism) (hotel) Pimlico Inn, lat=51.4908254, lgt=-0.1388947, score=0.6146698299723211]
-->[10]  [OSMlabel=(tourism) (hotel) Lidos Hotel, lat=51.490787, lgt=-0.138809, score=0.6146698299723211]
-->[11]  [OSMlabel=(tourism) (hotel) Luna Simone Hotel, lat=51.490747, lgt=-0.138673, score=0.6146698299723211]
-->[12]  [OSMlabel=(tourism) (hotel) Victor Hotel, lat=51.490678, lgt=-0.138529, score=0.6146698299723211]
-->[13]  [OSMlabel=(tourism) (hotel) Huttons Hotel, lat=51.49055, lgt=-0.138318, score=0.6146698299723211]
-->[14]  [OSMlabel=(tourism) (hotel) Sidney Hotel, lat=51.490333, lgt=-0.138557, score=0.6146698299723211]
-->[15]  [OSMlabel=(tourism) (hotel) The Crown, lat=51.3920905, lgt=-0.5029463, score=0.6140784701615561]
