-->[1]  [OSMlabel=(tourism) (hotel) The Old Bell, lat=51.8987875, lgt=0.1911369, score=0.6316334991708126]
-->[2]  [OSMlabel=(tourism) (hotel) Saracen's Head, lat=51.8726285, lgt=0.3622618, score=0.6316334991708126]
-->[3]  [OSMlabel=(tourism) (hotel) Manor Of Groves, lat=51.812363, lgt=0.1157671, score=0.6316334991708126]
-->[4]  [OSMlabel=(tourism) (hotel) Prested Hall, lat=51.8435172, lgt=0.7322559, score=0.6298309178743962]
-->[5]  [OSMlabel=(tourism) (hotel) Rivenhall Hotel, lat=51.8163108, lgt=0.6674911, score=0.6298309178743962]
-->[6]  [OSMlabel=(tourism) (hotel) Holiday Inn Colchester, lat=51.8924112, lgt=0.8244194, score=0.6272889842632332]
-->[7]  [OSMlabel=(tourism) (hotel) Five Lakes, lat=51.7862715, lgt=0.8043015, score=0.6272889842632332]
-->[8]  [OSMlabel=(tourism) (hotel) Westerns Farm, lat=50.9756627, lgt=0.2738897, score=0.6260822510822511]
-->[9]  [OSMlabel=(tourism) (hotel) Flackley Ash, lat=50.9787272, lgt=0.6768892, score=0.6260822510822511]
-->[10]  [OSMlabel=(tourism) (hotel) Clearlake Hotel, lat=51.5012334, lgt=-0.1862722, score=0.6162698412698413]
-->[11]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.6160185185185185]
-->[12]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.6160185185185185]
-->[13]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.6160185185185185]
-->[14]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=0.6160185185185185]
-->[15]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=0.6160185185185185]
