-->[1]  [OSMlabel=(tourism) (hotel) Quality Hotel, lat=51.4546854, lgt=-0.9690556, score=0.6065891472868218]
-->[2]  [OSMlabel=(tourism) (hotel) The George Hotel, lat=51.4547336, lgt=-0.9702105, score=0.6065891472868218]
-->[3]  [OSMlabel=(tourism) (hotel) Kew Gardens Hotel, lat=51.4759116, lgt=-0.2867226, score=0.6050724637681159]
-->[4]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=0.6046099290780141]
-->[5]  [OSMlabel=(tourism) (hotel) Oakland Hotel, lat=51.644636, lgt=0.6192697, score=0.6046099290780141]
-->[6]  [OSMlabel=(tourism) (hotel) The George Hotel, lat=51.1494806, lgt=0.8721089, score=0.6041666666666666]
-->[7]  [OSMlabel=(tourism) (hotel) Ace Hotel London Shoreditch, lat=51.525688, lgt=-0.077428, score=0.6041666666666666]
-->[8]  [OSMlabel=(tourism) (hotel) The Angel Hotel, lat=50.9877437, lgt=-0.7382723, score=0.6037414965986394]
-->[9]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.6018518518518519]
-->[10]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=0.6018518518518519]
-->[11]  [OSMlabel=(tourism) (hotel) The Arch, lat=51.5160759, lgt=-0.1600623, score=0.6018518518518519]
-->[12]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5151886, lgt=-0.1600185, score=0.6018518518518519]
-->[13]  [OSMlabel=(tourism) (hotel) Novotel, lat=51.4568873, lgt=-0.9726533, score=0.6018518518518519]
-->[14]  [OSMlabel=(tourism) (hotel) Malmaison, lat=51.4576568, lgt=-0.9719051, score=0.6018518518518519]
-->[15]  [OSMlabel=(tourism) (hotel) Ibis, lat=51.4568888, lgt=-0.9725163, score=0.6018518518518519]
