-->[1]  [OSMlabel=(tourism) (hotel) Sanctum Soho Hotel, lat=51.511565, lgt=-0.138332, score=0.65]
-->[2]  [OSMlabel=(tourism) (hotel) Ham Yard Hotel, lat=51.511163, lgt=-0.134909, score=0.65]
-->[3]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=0.6479674796747967]
-->[4]  [OSMlabel=(tourism) (hotel) St Leonards Hotel, lat=51.492453, lgt=-0.140664, score=0.6391304347826087]
-->[5]  [OSMlabel=(tourism) (hotel) The Chester Hotel, lat=51.492389, lgt=-0.140855, score=0.6391304347826087]
-->[6]  [OSMlabel=(tourism) (hotel) Romany House Hotel, lat=51.492265, lgt=-0.141182, score=0.6391304347826087]
-->[7]  [OSMlabel=(tourism) (hotel) Fairway Hotel, lat=51.5293995, lgt=-0.1237425, score=0.6391304347826087]
-->[8]  [OSMlabel=(tourism) (hotel) Florence Hotel, lat=51.5294779, lgt=-0.1238336, score=0.6391304347826087]
-->[9]  [OSMlabel=(tourism) (hotel) Central Hotel, lat=51.5292186, lgt=-0.1239919, score=0.6391304347826087]
-->[10]  [OSMlabel=(tourism) (hotel) Alhambra Hotel, lat=51.5293177, lgt=-0.1236512, score=0.6391304347826087]
-->[11]  [OSMlabel=(tourism) (hotel) Julian House Hotel, lat=51.5295188, lgt=-0.1238685, score=0.6391304347826087]
-->[12]  [OSMlabel=(tourism) (hotel) California Hotel, lat=51.5295045, lgt=-0.123438, score=0.6391304347826087]
-->[13]  [OSMlabel=(tourism) (hotel) Megaro Hotel, lat=51.5297301, lgt=-0.1239797, score=0.6391304347826087]
-->[14]  [OSMlabel=(tourism) (hotel) Kings Cross Inn Hotel, lat=51.5302618, lgt=-0.1229357, score=0.6391304347826087]
-->[15]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=0.6346938775510204]
