-->[1]  [OSMlabel=(tourism) (hotel) Citadines, lat=51.5178529, lgt=-0.1185245, score=0.5608932461873639]
-->[2]  [OSMlabel=(tourism) (hotel) THe Knightsbridge Green Hotel, lat=51.5015554, lgt=-0.1623833, score=0.557183908045977]
-->[3]  [OSMlabel=(tourism) (hotel) Millenium Hotel, lat=51.5000884, lgt=-0.1601195, score=0.557183908045977]
-->[4]  [OSMlabel=(tourism) (hotel) Capital Hotel, lat=51.5001038, lgt=-0.1614634, score=0.557183908045977]
-->[5]  [OSMlabel=(tourism) (hotel) The Abbey Court, lat=51.509844, lgt=-0.196707, score=0.5546296296296296]
-->[6]  [OSMlabel=(tourism) (hotel) Pelham Hotel, lat=51.4946337, lgt=-0.1749691, score=0.5544150110375275]
-->[7]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=0.553804347826087]
-->[8]  [OSMlabel=(tourism) (hotel) New Globe Hotel, lat=51.5245354, lgt=-0.0368949, score=0.553804347826087]
-->[9]  [OSMlabel=(tourism) (hotel) Hotel Royal National, lat=51.5231059, lgt=-0.1269058, score=0.5532020493115595]
-->[10]  [OSMlabel=(tourism) (hotel) Edward Hotel, lat=51.5141985, lgt=-0.1750747, score=0.5530057108506162]
-->[11]  [OSMlabel=(tourism) (hotel) Ascot, lat=51.5148128, lgt=-0.1767684, score=0.5530057108506162]
-->[12]  [OSMlabel=(tourism) (hotel) Rose Court Hotel, lat=51.5146626, lgt=-0.1746174, score=0.5530057108506162]
-->[13]  [OSMlabel=(tourism) (hotel) Hilton London Paddington Hotel, lat=51.5156254, lgt=-0.1759924, score=0.5530057108506162]
-->[14]  [OSMlabel=(tourism) (hotel) The Chamberlain, lat=51.5120645, lgt=-0.0757, score=0.5526539278131635]
-->[15]  [OSMlabel=(tourism) (hotel) The White Hart, lat=51.74980665, lgt=-0.3401311, score=0.5525709219858156]
-->[16]  [OSMlabel=(tourism) (hotel) Keystone Hostel, lat=51.5309713, lgt=-0.1208364, score=0.5525709219858156]
-->[17]  [OSMlabel=(tourism) (hotel) Premier Inn, lat=51.3391734, lgt=-0.7482455, score=0.5525709219858156]
-->[18]  [OSMlabel=(tourism) (hotel) RSVP, lat=51.3398005, lgt=-0.7453535, score=0.5525709219858156]
-->[19]  [OSMlabel=(tourism) (hotel) Hollingbury Hotel, lat=51.5406779, lgt=-0.2538187, score=0.5525709219858156]
-->[20]  [OSMlabel=(tourism) (hotel) Comfort Inn Kings Cross, lat=51.5300637, lgt=-0.1212142, score=0.5525709219858156]
