-->[1]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=0.6111111111111112]
-->[2]  [OSMlabel=(tourism) (hotel) Berjaya eden Park Hotel, lat=51.5120259, lgt=-0.1866141, score=0.6111111111111112]
-->[3]  [OSMlabel=(tourism) (hotel) Ham Yard Hotel, lat=51.511163, lgt=-0.134909, score=0.6111111111111112]
-->[4]  [OSMlabel=(tourism) (hotel) Shaftesbury Hyde Park International, lat=51.5123977, lgt=-0.1861753, score=0.6111111111111112]
-->[5]  [OSMlabel=(tourism) (hotel) Premier Inn, lat=51.5110723, lgt=-0.1302533, score=0.6111111111111112]
-->[6]  [OSMlabel=(tourism) (hotel) Oakland Hotel, lat=51.644636, lgt=0.6192697, score=0.6111111111111112]
-->[7]  [OSMlabel=(tourism) (hotel) London House Hotel, lat=51.513948, lgt=-0.1895392, score=0.6111111111111112]
-->[8]  [OSMlabel=(tourism) (hotel) Baron's Hotel, lat=51.5137798, lgt=-0.1861522, score=0.6111111111111112]
-->[9]  [OSMlabel=(tourism) (hotel) Draycott Hotel, lat=51.4929221, lgt=-0.1597612, score=0.6111111111111112]
-->[10]  [OSMlabel=(tourism) (hotel) Pelham Hotel, lat=51.4946337, lgt=-0.1749691, score=0.6111111111111112]
-->[11]  [OSMlabel=(tourism) (hotel) Phoenix Hotel, lat=51.5135904, lgt=-0.1894538, score=0.6111111111111112]
-->[12]  [OSMlabel=(tourism) (hotel) Somerset Kensington Gardens, lat=51.5132025, lgt=-0.1906088, score=0.6111111111111112]
-->[13]  [OSMlabel=(tourism) (hotel) The Thatcher House Hotel, lat=51.7004057, lgt=0.1138696, score=0.6111111111111112]
-->[14]  [OSMlabel=(tourism) (hotel) Milsoms Hotel, lat=51.5376776, lgt=-0.9057434, score=0.6111111111111112]
-->[15]  [OSMlabel=(tourism) (hotel) The George Hotel, lat=51.1494806, lgt=0.8721089, score=0.6111111111111112]
-->[16]  [OSMlabel=(tourism) (hotel) The George Hotel, lat=51.4547336, lgt=-0.9702105, score=0.6111111111111112]
-->[17]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=0.6096096096096096]
-->[18]  [OSMlabel=(tourism) (hotel) Keystone Hostel, lat=51.5309713, lgt=-0.1208364, score=0.6096096096096096]
-->[19]  [OSMlabel=(tourism) (hotel) The Melville Hotel, lat=51.5288076, lgt=-0.1227249, score=0.6096096096096096]
-->[20]  [OSMlabel=(tourism) (hotel) Sanctum Soho Hotel, lat=51.511565, lgt=-0.138332, score=0.6096096096096096]
